"","Response","Model","Chisq","Df","Pr_value","AIC","Warnings"
"1","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ graz+(1|site_ID)",0.353082402700079,3,0.949754540843081,121.344193000199,"warning : NULL"
"2","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ aridity+(1|site_ID)",0.00779774059334131,1,0.929634411006357,117.69376901905,"warning : NULL"
"3","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ FRic+(1|site_ID)",0.304202912291009,1,0.581259490642282,117.397935313337,"warning : NULL"
"4","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ FEve+(1|site_ID)",0.042787372166299,1,0.836126157239732,117.658736179638,"warning : NULL"
"5","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ FDiv+(1|site_ID)",0.179817905956494,1,0.671529775988871,117.521855833636,"warning : NULL"
"6","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ graz+aridity+(1|site_ID)",0.35139501257113,3,0.950089549694552,123.338106818049,"warning : NULL"
"7","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ graz+FRic+(1|site_ID)",0.376366536975701,3,0.945080158212898,123.017753011119,"warning : NULL"
"8","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ graz+FEve+(1|site_ID)",0.42337045976903,3,0.93537349748896,123.228381744279,"warning : NULL"
"9","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ graz+FDiv+(1|site_ID)",0.314606668830185,3,0.957258355892977,123.204494083187,"warning : NULL"
"10","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ aridity+FRic+(1|site_ID)",0.0196828580576219,1,0.888426433093774,119.378182912473,"warning : NULL"
"11","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ aridity+FEve+(1|site_ID)",0.0173468097838228,1,0.895215820535686,119.641347461732,"warning : NULL"
"12","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ aridity+FDiv+(1|site_ID)",0.00127176668329736,1,0.971552000117273,119.520584120097,"warning : NULL"
"13","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ FRic+FEve+(1|site_ID)",0.307350676597301,1,0.579310484537199,119.352048200781,"warning : NULL"
"14","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ FRic+FDiv+(1|site_ID)",0.331413038801085,1,0.564828221900506,119.191042647986,"warning : NULL"
"15","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ FEve+FDiv+(1|site_ID)",0.0541591439947539,1,0.815977927510717,119.467627286855,"warning : NULL"
"16","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ graz+aridity+FRic+(1|site_ID)",0.373980816172647,3,0.945563414641255,125.000446427722,"warning : NULL"
"17","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ graz+aridity+FEve+(1|site_ID)",0.429157460414708,3,0.934155519420324,125.204892418201,"warning : NULL"
"18","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ graz+aridity+FDiv+(1|site_ID)",0.3141061651766,3,0.957354023924243,125.203714530072,"warning : NULL"
"19","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ graz+aridity+graz:aridity+(1|site_ID)",NA,NA,NA,NA,"warning : NULL"
"20","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ graz+FRic+FEve+(1|site_ID)",0.440040553367771,3,0.931852328038299,124.905531738841,"warning : NULL"
"21","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ graz+FRic+FDiv+(1|site_ID)",0.343177856554264,3,0.951713449504336,124.845406318916,"warning : NULL"
"22","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ graz+FRic+graz:FRic+(1|site_ID)",0.376630806471574,3,0.945026568284737,128.955681403984,"warning : NULL"
"23","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ graz+FEve+FDiv+(1|site_ID)",0.378766952856667,3,0.944592960149536,125.08394111157,"warning : NULL"
"24","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ graz+FEve+graz:FEve+(1|site_ID)",0.423973174159596,3,0.935246867306398,129.162842088006,"warning : NULL"
"25","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ graz+FDiv+graz:FDiv+(1|site_ID)",0.31621359525244,3,0.956950850130949,128.86273589269,"warning : NULL"
"26","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ aridity+FRic+FEve+(1|site_ID)",0.0347823693239819,1,0.852052428011764,121.317112780687,"warning : NULL"
"27","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ aridity+FRic+FDiv+(1|site_ID)",0.00755667849698175,1,0.930727822572502,121.183471970754,"warning : NULL"
"28","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ aridity+FRic+aridity:FRic+(1|site_ID)",0.019426108740429,1,0.889151791014887,120.767312299882,"warning : NULL"
"29","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ aridity+FEve+FDiv+(1|site_ID)",0.00664807845370613,1,0.935015895487004,121.460972446476,"warning : NULL"
"30","mean_NIntc_rich_binom","mean_NIntc_rich_binom ~ aridity+FEve+aridity:FEve+(1|site_ID)",0.0170185072497145,1,0.896206453935242,121.605112354632,"warning : NULL"
