"","ID","replicate","euclidean_dist","grouping","COU","SITE","SITE_ID","PLOT","GRAZ","ARIDITY.v3"
"1",1,"1","4.85921731603124","nurse_bare_only","Algeria","El Ouassria","1",1,"3",0.8301
"2",1,"1","5.7729603329224","nurse_bare_only","Algeria","El Ouassria","1",1,"3",0.8301
"3",1,"1","5.60271730541597","nurse_both","Algeria","El Ouassria","1",1,"3",0.8301
"4",1,"2","5.56763791841578","nurse_bare_only","Algeria","El Ouassria","1",1,"3",0.8301
"5",1,"2","5.7729603329224","nurse_bare_only","Algeria","El Ouassria","1",1,"3",0.8301
"6",1,"2","5.60271730541597","nurse_nurse_only","Algeria","El Ouassria","1",1,"3",0.8301
"7",1,"2","4.53664832060322","nurse_both","Algeria","El Ouassria","1",1,"3",0.8301
"8",1,"3","6.58663046608979","nurse_bare_only","Algeria","El Ouassria","1",1,"3",0.8301
"9",1,"3","4.53664832060322","nurse_nurse_only","Algeria","El Ouassria","1",1,"3",0.8301
"10",1,"3","5.7729603329224","nurse_nurse_only","Algeria","El Ouassria","1",1,"3",0.8301
"11",1,"3","5.60271730541597","nurse_nurse_only","Algeria","El Ouassria","1",1,"3",0.8301
"12",1,"4","6.19427237044707","nurse_bare_only","Algeria","El Ouassria","1",1,"3",0.8301
"13",1,"4","5.56763791841578","nurse_bare_only","Algeria","El Ouassria","1",1,"3",0.8301
"14",1,"4","4.45854272874171","nurse_bare_only","Algeria","El Ouassria","1",1,"3",0.8301
"15",1,"4","5.7729603329224","nurse_bare_only","Algeria","El Ouassria","1",1,"3",0.8301
"16",1,"4","4.53664832060322","nurse_nurse_only","Algeria","El Ouassria","1",1,"3",0.8301
"17",1,"5","4.53664832060322","nurse_bare_only","Algeria","El Ouassria","1",1,"3",0.8301
"18",1,"5","5.56763791841578","nurse_bare_only","Algeria","El Ouassria","1",1,"3",0.8301
"19",1,"5","4.45854272874171","nurse_bare_only","Algeria","El Ouassria","1",1,"3",0.8301
"20",1,"5","4.85921731603124","nurse_bare_only","Algeria","El Ouassria","1",1,"3",0.8301
"21",1,"6","4.45854272874171","nurse_bare_only","Algeria","El Ouassria","1",1,"3",0.8301
"22",1,"6","4.85921731603124","nurse_nurse_only","Algeria","El Ouassria","1",1,"3",0.8301
"23",1,"6","4.90441055958725","nurse_nurse_only","Algeria","El Ouassria","1",1,"3",0.8301
"24",1,"6","4.53664832060322","nurse_both","Algeria","El Ouassria","1",1,"3",0.8301
"25",1,"7","4.45854272874171","nurse_bare_only","Algeria","El Ouassria","1",1,"3",0.8301
"26",1,"7","5.60271730541597","nurse_nurse_only","Algeria","El Ouassria","1",1,"3",0.8301
"27",1,"7","5.7729603329224","nurse_nurse_only","Algeria","El Ouassria","1",1,"3",0.8301
"28",1,"8","5.56763791841578","nurse_bare_only","Algeria","El Ouassria","1",1,"3",0.8301
"29",1,"8","6.19427237044707","nurse_bare_only","Algeria","El Ouassria","1",1,"3",0.8301
"30",1,"8","4.45854272874171","nurse_bare_only","Algeria","El Ouassria","1",1,"3",0.8301
"31",1,"8","4.53664832060322","nurse_nurse_only","Algeria","El Ouassria","1",1,"3",0.8301
"32",1,"9","5.7729603329224","nurse_nurse_only","Algeria","El Ouassria","1",1,"3",0.8301
