"","COU","SITE_ID","ID","trait","Functional_group","n","mean","ci_low_mean","ci_high_mean","var","ci_low_var","ci_high_var","skew","ci_low_skew","ci_high_skew","kurt","ci_low_kurt","ci_high_kurt","GRAZ","ARIDITY.v3"
"1","Algeria","1","1","C_N_ratio",1,50,34.0900780273691,34.0900780273691,34.0900780273691,0,0,0,NA,NA,NA,NA,NA,NA,3,0.8301
"2","Algeria","1","1","C_N_ratio",2,50,18.2390491163894,17.7532744259354,18.7248238068434,29.2708587452152,26.3135994023222,32.2281180881082,0.043509663193135,-0.162814313027272,0.249833639413542,-0.939674481960038,-1.57168042271076,-0.307668541209311,3,0.8301
"3","Algeria","1","1","C_N_ratio",3,50,12.0930523586724,11.7892125358726,12.3968921814722,8.47549825264968,6.654083057563,10.2969134477364,1.27353691340086,1.13388792773958,1.41318589906213,1.93732524830264,1.25708893558298,2.61756156102229,3,0.8301
"4","Algeria","1","1","MaxH",1,50,66,66,66,0,0,0,NA,NA,NA,NA,NA,NA,3,0.8301
"5","Algeria","1","1","MaxH",2,50,8.386,8.16561999424,8.60638000575999,5.94889696969697,5.31160414621361,6.58618979318033,-0.0240391470324618,-0.259707344603333,0.21162905053841,-0.862397292735903,-1.30689384044949,-0.417900745022311,3,0.8301
"6","Algeria","1","1","MaxH",3,50,8.4372,7.97094684987659,8.90345315012341,34.8309212121212,32.9653982727328,36.6964441515096,0.433555474646168,0.277834393582115,0.58927655571022,-1.6561455854778,-1.82578778862173,-1.48650338233386,3,0.8301
"7","Algeria","1","1","MaxLS",1,50,8500,8500,8500,0,0,0,NA,NA,NA,NA,NA,NA,3,0.8301
"8","Algeria","1","1","MaxLS",2,50,164.6072,149.794285744706,179.420114255294,17393.9140686869,14992.5943402324,19795.2337971413,0.84345715328448,0.617287579694511,1.06962672687445,-0.378610845726446,-0.996443680772265,0.239221989319374,3,0.8301
"9","Algeria","1","1","MaxLS",3,50,59.7284,56.499049676761,62.957750323239,835.763741414141,687.471087039028,984.056395789255,0.655749596014304,0.468293538383671,0.843205653644937,-0.0168639541875853,-0.328408813272933,0.294680904897762,3,0.8301
"10","Algeria","1","1","MeanLA",1,50,1.307304762,1.307304762,1.307304762,0,0,0,NA,NA,NA,NA,NA,NA,3,0.8301
"11","Algeria","1","1","MeanLA",2,50,0.623644237197,0.596143231832659,0.651145242561341,0.0838473088192995,0.0711754274847485,0.0965191901538505,1.01395424760929,0.843859634788966,1.18404886042962,0.668940434492473,0.0330669156837018,1.30481395330125,3,0.8301
"12","Algeria","1","1","MeanLA",3,50,1.0467777693414,0.993354059520974,1.10020147916183,0.269710475552186,0.231580839640948,0.307840111463423,0.717106364330804,0.548443257473134,0.885769471188474,-0.179132583243253,-0.380749099000461,0.0224839325139552,3,0.8301
"13","Algeria","1","1","MeanLDMC",1,50,0.514277598,0.514277598,0.514277598,0,0,0,NA,NA,NA,NA,NA,NA,3,0.8301
"14","Algeria","1","1","MeanLDMC",2,50,0.3505421222426,0.340730386348704,0.360353858136496,0.00965981048004652,0.00882572081477936,0.0104939001453137,0.466815809854469,0.263504416289543,0.670127203419396,-1.31647958658404,-1.63556996414245,-0.997389209025631,3,0.8301
"15","Algeria","1","1","MeanLDMC",3,50,0.237055790982,0.234636660908962,0.239474921055038,0.000670985799286342,0.000565113488548383,0.0007768581100243,-1.77604156313241,-2.11526907121234,-1.43681405505249,1.43430180101725,0.114219991000915,2.75438361103358,3,0.8301
"16","Algeria","1","1","MeanLL",1,50,21,21,21,0,0,0,NA,NA,NA,NA,NA,NA,3,0.8301
"17","Algeria","1","1","MeanLL",2,50,4.9223888335934,4.72699001054619,5.11778765664061,4.7587769094757,4.55724273736406,4.96031108158734,-0.303679412502846,-0.49895385457339,-0.108404970432301,-1.70623738920225,-1.88043665717443,-1.53203812123006,3,0.8301
"18","Algeria","1","1","MeanLL",3,50,7.3259128347536,6.91174680707131,7.74007886243589,18.5411290654626,17.3883375074386,19.6939206234866,0.319580378665983,0.134582153012525,0.504578604319442,-1.75129860893062,-1.93588751007054,-1.56670970779071,3,0.8301
"19","Algeria","1","1","MeanSLA",1,50,64.62467871,64.62467871,64.62467871,0,0,0,NA,NA,NA,NA,NA,NA,3,0.8301
"20","Algeria","1","1","MeanSLA",2,50,96.145720587976,94.1920255502532,98.0994156256988,384.980319229009,350.315772338856,419.644866119161,0.103816455629875,-0.124337019112739,0.33196993037249,-1.10191255361711,-1.4988162472229,-0.705008860011312,3,0.8301
"21","Algeria","1","1","MeanSLA",3,50,121.42325508648,119.903639457817,122.942870715143,218.18835431794,195.206045363285,241.170663272596,0.395229287978637,0.251113539884717,0.539345036072557,-0.865356471988066,-0.968875668682674,-0.761837275293457,3,0.8301
"22","Algeria","1","2","C_N_ratio",1,50,36.3211621189297,36.3211621189297,36.3211621189297,0,0,0,NA,NA,NA,NA,NA,NA,2,0.8317
"23","Algeria","1","2","C_N_ratio",2,50,28.9363226826608,27.8965699214583,29.9760754438633,112.846742850716,104.565638842334,121.127846859097,-0.3471739390204,-0.520661290986608,-0.173686587054191,-1.43591254068204,-1.55554236757263,-1.31628271379145,2,0.8317
"24","Algeria","1","2","C_N_ratio",3,50,12.327489147748,11.9747500232141,12.6802282722818,13.9730774295757,12.5740700614445,15.372084797707,0.15567273954894,-0.036110353936937,0.347455833034818,-1.20053846983567,-1.34132637603659,-1.05975056363475,2,0.8317
"25","Algeria","1","2","MaxH",1,50,103,103,103,0,0,0,NA,NA,NA,NA,NA,NA,2,0.8317
"26","Algeria","1","2","MaxH",2,50,10.8254,10.591208294122,11.059591705878,10.0076424242424,6.33121249511873,13.6840723533661,1.32105274580576,0.248650078006748,2.39345541360478,8.54676939029697,5.83521827784833,11.2583205027456,2,0.8317
"27","Algeria","1","2","MaxH",3,50,7.7708,7.48202468306057,8.05957531693943,8.49105454545455,7.81527362873979,9.1668354621693,-0.104187315989594,-0.272754727672471,0.0643800956932842,-1.21923409407257,-1.35765322598878,-1.08081496215636,2,0.8317
"28","Algeria","1","2","MaxLS",1,50,20300,20300,20300,0,0,0,NA,NA,NA,NA,NA,NA,2,0.8317
"29","Algeria","1","2","MaxLS",2,50,325.8778,311.228602029337,340.526997970663,21664.2822686869,19152.9567401691,24175.6077972047,-0.311352976116228,-0.511968197995736,-0.110737754236719,-0.855835452187567,-1.0213713613421,-0.690299543033031,2,0.8317
